CardID,R_Score,F_Score,M_Score,RFM_Segment,Segment
C0100142192,3,1,5,315,Other
C0100142422,4,3,3,433,Other
C0100142472,4,1,1,411,Other
C0100142737,4,5,5,455,Lovers
C0100142858,2,3,4,234,Other
C0100142917,5,4,4,544,Lovers
C0100143421,2,3,5,235,Other
C0100143466,3,1,3,313,Other
C0100144128,3,2,3,323,Other
C0100144374,4,4,3,443,Other
C0100144664,4,5,5,455,Lovers
C0100144757,4,5,5,455,Lovers
C0100144828,1,1,1,111,Other
C0100145568,2,4,2,242,Other
C0100145679,3,3,3,333,Other
C0100146051,1,1,1,111,Other
C0100146278,3,1,4,314,Other
C0100147099,3,1,5,315,Other
C0100147200,3,2,3,323,Other
C0100147340,4,4,2,442,Other
C0100147759,5,4,5,545,Lovers
C0100147881,3,3,3,333,Other
C0100148129,4,5,1,451,Other
C0100148785,1,1,1,111,Other
C0100148878,1,1,2,112,Other
C0100149505,3,2,5,325,Other
C0100149639,4,4,5,445,Lovers
C0100149670,1,5,4,154,Other
C0100150185,3,2,3,323,Other
C0100150239,3,4,5,345,Other
C0100150286,2,3,4,234,Other
C0100150537,3,1,4,314,Other
C0100150950,5,5,5,555,Soulmates
C0100151175,1,1,2,112,Other
C0100151449,2,1,3,213,Other
C0100151615,3,3,3,333,Other
C0100151786,4,2,4,424,Other
C0100151835,4,2,1,421,Other
C0100151976,4,1,1,411,Other
C0100152215,5,1,3,513,Other
C0100152580,2,1,1,211,Other
C0100153371,1,3,4,134,Other
C0100153570,5,5,2,552,Other
C0100153687,3,4,2,342,Other
C0100153750,1,1,1,111,Other
C0100154455,1,1,1,111,Other
C0100154614,5,5,5,555,Soulmates
C0100154629,5,5,5,555,Soulmates
C0100154658,5,1,4,514,Other
C0100154713,1,1,4,114,Other
C0100155093,3,2,4,324,Other
C0100155224,3,2,5,325,Other
C0100155375,2,3,4,234,Other
C0100155803,2,5,4,254,Other
C0100155907,3,1,2,312,Other
C0100156038,5,1,3,513,Other
C0100156309,4,5,5,455,Lovers
